day,timestamp,buyer,seller,symbol,price,quantity,mid_price,buy_edge,buy_exec_score,forward_return_t_plus_3,buy_info_score_t_plus_3,buy_total_score_t_plus_3
-2,92800,,,EMERALDS,9992.0,6,10000.0,8.0,48.0,4.0,24.0,72.0
-1,141300,,,EMERALDS,9992.0,6,10000.0,8.0,48.0,4.0,24.0,72.0
-2,209900,,,EMERALDS,9992.0,8,9996.0,4.0,32.0,4.0,32.0,64.0
-2,84300,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,120700,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,123000,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,149200,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,159600,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,355700,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
-2,413600,,,EMERALDS,9992.0,8,10000.0,8.0,64.0,0.0,0.0,64.0
