day,timestamp,symbol,price,quantity,mid_price,participant,seller,underlying_mid,strike,delta_proxy,underlying_forward_return_t_plus_10,buy_coupon_underlying_score_t_plus_10,sell_coupon_underlying_score_t_plus_10,score,side,buyer
3,263200,VEV_4000,1216.0,3,1226.5,Mark 14,Mark 38,5226.5,4000.0,0.9999635973774056,8.0,23.999126337057735,-23.999126337057735,79.49912633705773,BUY,
2,1300,VEV_4000,1251.0,3,1262.0,Mark 14,Mark 38,5262.0,4000.0,0.9999729194215026,7.0,20.999431307851555,-20.999431307851555,74.99943130785155,BUY,
2,571300,VEV_4000,1219.0,3,1229.0,Mark 14,Mark 38,5229.0,4000.0,0.9999643478933188,7.5,22.499197827599673,-22.499197827599673,74.99919782759967,BUY,
2,605100,VEV_4000,1233.0,3,1243.5,Mark 14,Mark 38,5243.5,4000.0,0.9999684056292756,7.0,20.999336518214786,-20.999336518214786,73.49933651821479,BUY,
1,789200,VEV_4000,1250.0,3,1261.0,Mark 14,Mark 38,5261.0,4000.0,0.9999726928132879,6.5,19.499467509859116,-19.499467509859116,71.99946750985912,BUY,
1,743600,VEV_4000,1259.0,3,1269.5,Mark 14,Mark 38,5269.5,4000.0,0.999974560109071,7.5,22.499427602454098,-22.499427602454098,71.99942760245409,BUY,
1,552600,VEV_4000,1244.0,3,1233.5,Mark 14,,5233.5,4000.0,0.999965660044804,-6.0,-17.99938188080647,17.99938188080647,68.99938188080647,SELL,Mark 38
3,917300,VEV_4000,1238.0,3,1248.5,Mark 14,Mark 38,5248.5,4000.0,0.9999696949736223,6.0,17.9994545095252,-17.9994545095252,67.49945450952521,BUY,
2,739600,VEV_4000,1227.0,3,1217.0,Mark 14,,5217.5,4000.0,0.999960762301301,-5.0,-14.999411434519516,14.999411434519516,59.999411434519516,SELL,Mark 38
1,263100,VEV_4000,1268.0,3,1257.5,Mark 14,,5257.5,4000.0,0.9999718846476098,-4.0,-11.999662615771317,11.999662615771317,58.499662615771314,SELL,Mark 38
3,373200,VEV_4000,1224.0,3,1234.0,Mark 14,Mark 38,5234.0,4000.0,0.9999658028253915,4.5,13.499538338142784,-13.499538338142784,56.999538338142784,BUY,
1,503500,VEV_4000,1240.0,3,1250.5,Mark 14,Mark 38,5250.5,4000.0,0.9999701958567213,4.0,11.999642350280656,-11.999642350280656,55.49964235028065,BUY,
3,579000,VEV_4000,1234.0,3,1223.5,Mark 14,,5223.5,4000.0,0.9999626758750226,-4.0,-11.999552110500272,11.999552110500272,53.999552110500275,SELL,Mark 38
2,166700,VEV_4000,1283.0,3,1272.5,Mark 14,,5272.5,4000.0,0.9999751882066313,-3.5,-10.499739476169628,10.499739476169628,52.49973947616963,SELL,Mark 38
1,747700,VEV_4000,1261.0,3,1271.5,Mark 14,Mark 38,5271.5,4000.0,0.9999749805829626,3.5,10.499737296121108,-10.499737296121108,52.49973729612111,BUY,
2,277900,VEV_4000,1259.0,3,1269.5,Mark 14,Mark 38,5269.5,4000.0,0.999974560109071,3.5,10.499732881145245,-10.499732881145245,52.49973288114525,BUY,
2,50200,VEV_4000,1249.0,3,1259.5,Mark 14,Mark 38,5259.5,4000.0,0.9999723493406606,3.5,10.499709668076935,-10.499709668076935,52.49970966807693,BUY,
1,481300,VEV_4000,1257.0,3,1246.5,Mark 14,,5246.5,4000.0,0.9999691856730308,-3.5,-10.499676449566824,10.499676449566824,52.49967644956682,SELL,Mark 38
3,106800,VEV_4000,1239.0,2,1249.5,Mark 14,Mark 38,5249.0,4000.0,0.9999698209780633,8.0,15.999517135649013,-15.999517135649013,51.999517135649015,BUY,
2,805600,VEV_4000,1246.0,2,1256.5,Mark 14,Mark 38,5256.5,4000.0,0.9999716493807318,7.5,14.999574740710976,-14.999574740710976,50.999574740710976,BUY,
